FastqFileAcc	Target	ExperimentAcc	ExperimentAcc share the same Target	PeakType	BedFileAcc from the same ExperimentAcc
ENCFF914KKF	IKZF1	ENCSR874AFU	ENCSR874AFU,ENCSR441VHN,ENCSR000EUJ	narrowPeak	ENCFF492EAL.bed,ENCFF455HXY.bed,ENCFF795PEX.bed,ENCFF343VAG.bed,ENCFF229YSW.bed
ENCFF000WHO	ZZZ3	ENCSR000DNQ	ENCSR000DNQ	narrowPeak	ENCFF001VFV.bed,ENCFF002CPY.bed
ENCFF000WHB	ZNF384	ENCSR000DYP	ENCSR000DYP	narrowPeak	ENCFF001VFW.bed
ENCFF271TDT	MTA2	ENCSR293QAR	ENCSR293QAR	narrowPeak	ENCFF593KRH.bed,ENCFF494SRY.bed,ENCFF407KWG.bed,ENCFF966RPL.bed,ENCFF197TYK.bed
ENCFF340SQP	NR2F1	ENCSR514VYD	ENCSR514VYD	narrowPeak	ENCFF766CJW.bed,ENCFF878DLA.bed,ENCFF241KMD.bed,ENCFF810CEL.bed,ENCFF255HIR.bed
ENCFF000WHG	ZNF274	ENCSR000EUK	ENCSR000EUK	narrowPeak	ENCFF001VFT.bed,ENCFF002CPX.bed
ENCFF000VSD	BHLHE40	ENCSR000DZJ	ENCSR000DZJ,ENCSR987MTA	narrowPeak	ENCFF001VDW.bed,ENCFF002COK.bed
ENCFF000VSF	BHLHE40	ENCSR000DZJ	ENCSR000DZJ,ENCSR987MTA	narrowPeak	ENCFF001VDW.bed,ENCFF002COK.bed
ENCFF324QQE	EED	ENCSR199WXF	ENCSR199WXF	narrowPeak	ENCFF254LCG.bed,ENCFF327ANX.bed,ENCFF050FWJ.bed,ENCFF393KDR.bed,ENCFF242VUO.bed
ENCFF000WFR	NR2C2	ENCSR000EUL	ENCSR000EUL	narrowPeak	ENCFF001VFP.bed,ENCFF002CPS.bed
ENCFF000WFP	TBP	ENCSR000DZZ	ENCSR000DZZ	narrowPeak	ENCFF001VFO.bed,ENCFF002CPR.bed
ENCFF000WFQ	TBP	ENCSR000DZZ	ENCSR000DZZ	narrowPeak	ENCFF001VFO.bed,ENCFF002CPR.bed
ENCFF697JWX	IKZF2	ENCSR680UQE	ENCSR680UQE	narrowPeak	ENCFF431GOQ.bed,ENCFF515FMR.bed,ENCFF379VSR.bed,ENCFF337XDI.bed,ENCFF339FFC.bed
ENCFF000WFZ	NR2C2	ENCSR000EUL	ENCSR000EUL	narrowPeak	ENCFF001VFP.bed,ENCFF002CPS.bed
ENCFF393JDU	RAD51	ENCSR482TWQ	ENCSR482TWQ	narrowPeak	ENCFF270NTV.bed,ENCFF445UJF.bed,ENCFF310LKB.bed,ENCFF014TGJ.bed,ENCFF388DPA.bed
ENCFF000VSV	CUX1	ENCSR000DYR	ENCSR000DYR	narrowPeak	ENCFF001VDY.bed
ENCFF000WFE	STAT1	ENCSR000DZM	ENCSR332EYT,ENCSR000DZM	narrowPeak	ENCFF001VFL.bed,ENCFF002CPO.bed
ENCFF000WFA	TBL1XR1	ENCSR000DYZ	ENCSR000DYZ	narrowPeak	ENCFF001VFN.bed,ENCFF002CPQ.bed
ENCFF172ORI	PKNOX1	ENCSR711XNY	ENCSR711XNY	narrowPeak	ENCFF049YTC.bed,ENCFF020GMZ.bed,ENCFF583BIS.bed,ENCFF825QFX.bed,ENCFF618KHI.bed
ENCFF000WFJ	STAT3	ENCSR000DZV	ENCSR000DZV	narrowPeak	ENCFF001VFM.bed,ENCFF002CPP.bed
ENCFF000WFK	STAT3	ENCSR000DZV	ENCSR000DZV	narrowPeak	ENCFF001VFM.bed,ENCFF002CPP.bed
ENCFF000ASZ	H3K27me3	ENCSR000AKD	ENCSR000AKD,ENCSR000DRX	narrowPeak	ENCFF523KGZ.bed,ENCFF533IKU.bed,ENCFF973OTZ.bed,ENCFF247VUO.bed
ENCFF340BKZ	BMI1	ENCSR469WII	ENCSR469WII	narrowPeak	ENCFF809PXE.bed,ENCFF159QMJ.bed,ENCFF827JSS.bed,ENCFF626WXN.bed,ENCFF089KCX.bed
ENCFF471LIQ	ZBTB40	ENCSR189YYK	ENCSR189YYK	narrowPeak	ENCFF297SZY.bed,ENCFF742SNU.bed,ENCFF321DBH.bed,ENCFF501JIG.bed,ENCFF357WYN.bed
ENCFF017DPB	SMARCA5	ENCSR706YUH	ENCSR706YUH	narrowPeak	ENCFF478DRD.bed,ENCFF159DHF.bed,ENCFF647XXJ.bed,ENCFF552GWT.bed,ENCFF340WUW.bed
ENCFF000RPL	POLR2A	ENCSR000DKT	ENCSR000BGD,ENCSR000DKT,ENCSR000EAD,ENCSR000EYW	narrowPeak	ENCFF001USI.bed,ENCFF002DAK.bed
ENCFF000RPI	POLR2A	ENCSR000DKT	ENCSR000BGD,ENCSR000DKT,ENCSR000EAD,ENCSR000EYW	narrowPeak	ENCFF001USI.bed,ENCFF002DAK.bed
ENCFF481ROV	CHD1	ENCSR228DTL	ENCSR000DZE,ENCSR228DTL	narrowPeak	ENCFF521WIF.bed,ENCFF934VGQ.bed,ENCFF669PJP.bed,ENCFF893FXR.bed,ENCFF791ZQA.bed
ENCFF238XIH	TCF12	ENCSR725VFL	ENCSR725VFL,ENCSR000BGZ	narrowPeak	ENCFF601WVR.bed,ENCFF531FOV.bed,ENCFF595TGO.bed,ENCFF237IPT.bed,ENCFF017LZE.bed
ENCFF177PDI	TRIM22	ENCSR835XKS	ENCSR835XKS,ENCSR637QAM	narrowPeak	ENCFF543JOD.bed,ENCFF568AYW.bed,ENCFF350OGU.bed,ENCFF426XYB.bed,ENCFF899JBI.bed
ENCFF110RBD	ZSCAN29	ENCSR412YGM	ENCSR412YGM	narrowPeak	ENCFF003TOD.bed,ENCFF567ENM.bed,ENCFF455HXN.bed,ENCFF306UPG.bed,ENCFF781FBO.bed
ENCFF428ODU	CHD7	ENCSR649WUM	ENCSR649WUM	narrowPeak	ENCFF713HQO.bed,ENCFF861BOG.bed,ENCFF577UFH.bed,ENCFF942UUH.bed,ENCFF140QGZ.bed
ENCFF230ILN	IKZF2	ENCSR680UQE	ENCSR680UQE	narrowPeak	ENCFF431GOQ.bed,ENCFF515FMR.bed,ENCFF379VSR.bed,ENCFF337XDI.bed,ENCFF339FFC.bed
ENCFF264WMA	NR2F1	ENCSR514VYD	ENCSR514VYD	narrowPeak	ENCFF766CJW.bed,ENCFF878DLA.bed,ENCFF241KMD.bed,ENCFF810CEL.bed,ENCFF255HIR.bed
ENCFF509XFH	ZSCAN29	ENCSR412YGM	ENCSR412YGM	narrowPeak	ENCFF003TOD.bed,ENCFF567ENM.bed,ENCFF455HXN.bed,ENCFF306UPG.bed,ENCFF781FBO.bed
ENCFF000OCO	RUNX3	ENCSR000BRI	ENCSR000BRI	narrowPeak	ENCFF002CHS.bed
ENCFF000OCH	RAD21	ENCSR000BMY	ENCSR000BMY,ENCSR000EAC	narrowPeak	ENCFF002CHR.bed
ENCFF000OCE	RAD21	ENCSR000BMY	ENCSR000BMY,ENCSR000EAC	narrowPeak	ENCFF002CHR.bed
ENCFF194BDT	NR2C1	ENCSR784VIQ	ENCSR784VIQ	narrowPeak	ENCFF119UKJ.bed,ENCFF685WLQ.bed,ENCFF041WNR.bed,ENCFF538XDH.bed,ENCFF381SBC.bed
ENCFF973RUL	MTA2	ENCSR293QAR	ENCSR293QAR	narrowPeak	ENCFF593KRH.bed,ENCFF494SRY.bed,ENCFF407KWG.bed,ENCFF966RPL.bed,ENCFF197TYK.bed
ENCFF425QLF	RBBP5	ENCSR330EXS	ENCSR330EXS	narrowPeak	ENCFF608GYJ.bed,ENCFF982HET.bed,ENCFF893XGS.bed,ENCFF814CZI.bed,ENCFF728BVI.bed
ENCFF785LRF	GATAD2B	ENCSR828NCB	ENCSR828NCB	narrowPeak	ENCFF271HBJ.bed,ENCFF456YII.bed,ENCFF040LOQ.bed,ENCFF444FZU.bed,ENCFF855RKW.bed
ENCFF427HAD	KDM5A	ENCSR982FSK	ENCSR982FSK	narrowPeak	ENCFF756MMC.bed,ENCFF343ZXM.bed,ENCFF058MMF.bed,ENCFF443ZHQ.bed,ENCFF070LPO.bed
ENCFF374ENZ	CHD4	ENCSR751CJG	ENCSR751CJG	narrowPeak	ENCFF544DYV.bed,ENCFF477RJI.bed,ENCFF499ZPP.bed,ENCFF593OVL.bed,ENCFF428HSL.bed
ENCFF237EAI	ZNF217	ENCSR764CZW	ENCSR764CZW	narrowPeak	ENCFF736WSI.bed,ENCFF021SAT.bed,ENCFF589PUL.bed,ENCFF165XUL.bed,ENCFF513RIQ.bed
ENCFF000VTM	CHD1	ENCSR000DZE	ENCSR000DZE,ENCSR228DTL	narrowPeak	ENCFF001VEA.bed,ENCFF002CON.bed
ENCFF485UKV	NBN	ENCSR278SQL	ENCSR278SQL	narrowPeak	ENCFF055NJR.bed,ENCFF635TWM.bed,ENCFF174HNI.bed,ENCFF211SVA.bed,ENCFF257OPZ.bed
ENCFF000VTI	BRCA1	ENCSR000DZS	ENCSR000DZS	narrowPeak	ENCFF001VDX.bed,ENCFF002COL.bed
ENCFF000VTH	FOS	ENCSR000EYZ	ENCSR000EYZ	narrowPeak	ENCFF001VDZ.bed,ENCFF002COM.bed
ENCFF000VTK	CHD1	ENCSR000DZE	ENCSR000DZE,ENCSR228DTL	narrowPeak	ENCFF001VEA.bed,ENCFF002CON.bed
ENCFF000VTG	FOS	ENCSR000EYZ	ENCSR000EYZ	narrowPeak	ENCFF001VDZ.bed,ENCFF002COM.bed
ENCFF000VTF	FOS	ENCSR000EYZ	ENCSR000EYZ	narrowPeak	ENCFF001VDZ.bed,ENCFF002COM.bed
ENCFF000WEP	SUPT20H	ENCSR000DNP	ENCSR000DNP	narrowPeak	ENCFF001VFI.bed
ENCFF000WEO	SUPT20H	ENCSR000DNP	ENCSR000DNP	narrowPeak	ENCFF001VFI.bed
ENCFF000VTY	RCOR1	ENCSR000DZC	ENCSR000DZC	narrowPeak	ENCFF001VEC.bed,ENCFF002COP.bed
ENCFF000WEH	SREBF2	ENCSR000DYT	ENCSR000DYT	narrowPeak	ENCFF001VFK.bed
ENCFF000WEF	SREBF2	ENCSR000DYT	ENCSR000DYT	narrowPeak	ENCFF001VFK.bed
ENCFF000VTW	RCOR1	ENCSR000DZC	ENCSR000DZC	narrowPeak	ENCFF001VEC.bed,ENCFF002COP.bed
ENCFF000WEC	SMC3	ENCSR000DZP	ENCSR000DZP	narrowPeak	ENCFF001VFH.bed,ENCFF002CPN.bed
ENCFF000WEB	SMC3	ENCSR000DZP	ENCSR000DZP	narrowPeak	ENCFF001VFH.bed,ENCFF002CPN.bed
ENCFF203MXC	MLLT1	ENCSR552XSN	ENCSR552XSN	narrowPeak	ENCFF657OOK.bed,ENCFF966NTL.bed,ENCFF942NGM.bed,ENCFF881VZH.bed,ENCFF173KPE.bed
ENCFF002EBS	MYB	ENCSR819ATC	ENCSR819ATC	narrowPeak	ENCFF285WIV.bed,ENCFF431SLO.bed,ENCFF214BKN.bed,ENCFF173YZN.bed,ENCFF103IOJ.bed
ENCFF203DJH	CHD4	ENCSR751CJG	ENCSR751CJG	narrowPeak	ENCFF544DYV.bed,ENCFF477RJI.bed,ENCFF499ZPP.bed,ENCFF593OVL.bed,ENCFF428HSL.bed
ENCFF863MQV	FOXK2	ENCSR861JUQ	ENCSR861JUQ	narrowPeak	ENCFF291AYM.bed,ENCFF014VXF.bed,ENCFF348PZF.bed,ENCFF870DSA.bed,ENCFF980KSV.bed
ENCFF854DIL	CTBP1	ENCSR120IIK	ENCSR120IIK	narrowPeak	ENCFF628GFW.bed,ENCFF567AAE.bed,ENCFF345ODF.bed,ENCFF833IYL.bed
ENCFF000WEY	TBL1XR1	ENCSR000DYZ	ENCSR000DYZ	narrowPeak	ENCFF001VFN.bed,ENCFF002CPQ.bed
ENCFF965ZWE	KDM1A	ENCSR391IWM	ENCSR391IWM	narrowPeak	ENCFF040IUQ.bed,ENCFF387DEN.bed,ENCFF948QKK.bed,ENCFF996RRT.bed,ENCFF385GVM.bed
ENCFF023QAR	GATAD2B	ENCSR828NCB	ENCSR828NCB	narrowPeak	ENCFF271HBJ.bed,ENCFF456YII.bed,ENCFF040LOQ.bed,ENCFF444FZU.bed,ENCFF855RKW.bed
ENCFF914JSK	PKNOX1	ENCSR711XNY	ENCSR711XNY	narrowPeak	ENCFF049YTC.bed,ENCFF020GMZ.bed,ENCFF583BIS.bed,ENCFF825QFX.bed,ENCFF618KHI.bed
ENCFF434EYR	RAD51	ENCSR482TWQ	ENCSR482TWQ	narrowPeak	ENCFF270NTV.bed,ENCFF445UJF.bed,ENCFF310LKB.bed,ENCFF014TGJ.bed,ENCFF388DPA.bed
ENCFF000NWT	IRF4	ENCSR000BGY	ENCSR000BGY	narrowPeak	ENCFF002CHB.bed
ENCFF000NWV	IRF4	ENCSR000BGY	ENCSR000BGY	narrowPeak	ENCFF002CHB.bed
ENCFF907SBN	BACH1	ENCSR636MKU	ENCSR636MKU	narrowPeak	ENCFF084PVB.bed,ENCFF866OLZ.bed,ENCFF747JGV.bed,ENCFF748WOQ.bed,ENCFF012JXJ.bed
ENCFF000NWE	FOXM1	ENCSR000BRU	ENCSR000BRU	narrowPeak	ENCFF002CGZ.bed
ENCFF000NWG	FOXM1	ENCSR000BRU	ENCSR000BRU	narrowPeak	ENCFF002CGZ.bed
ENCFF000NWM	GABPA	ENCSR000BGC	ENCSR331HPA,ENCSR000BGC	narrowPeak	ENCFF002CHA.bed,ENCFF954ZGT.bed,ENCFF067DXS.bed,ENCFF280NKX.bed,ENCFF574ZEF.bed,ENCFF617GBZ.bed
ENCFF000NWN	GABPA	ENCSR000BGC	ENCSR331HPA,ENCSR000BGC	narrowPeak	ENCFF002CHA.bed,ENCFF954ZGT.bed,ENCFF067DXS.bed,ENCFF280NKX.bed,ENCFF574ZEF.bed,ENCFF617GBZ.bed
ENCFF000VUW	CTCF	ENCSR000DZN	ENCSR000DZN,ENCSR000DRZ,ENCSR000DLD,ENCSR000DLE,ENCSR000DKV,ENCSR000AKB	narrowPeak	ENCFF001VED.bed,ENCFF002COQ.bed,ENCFF256QBB.bed,ENCFF307KRD.bed,ENCFF833GQU.bed,ENCFF710VEH.bed
ENCFF887YKT	TARDBP	ENCSR412QBS	ENCSR412QBS,ENCSR016UEH	narrowPeak	ENCFF016QUV.bed,ENCFF354CAT.bed,ENCFF187SWR.bed,ENCFF360OXD.bed,ENCFF733UTZ.bed
ENCFF002ELA	STAT1	ENCSR332EYT	ENCSR332EYT,ENCSR000DZM	narrowPeak	ENCFF728RVS.bed,ENCFF019TKV.bed,ENCFF294YGK.bed,ENCFF680DVR.bed,ENCFF557HJB.bed
ENCFF918XGV	HDGF	ENCSR145XQO	ENCSR145XQO	narrowPeak	ENCFF816GZA.bed,ENCFF991QKE.bed,ENCFF432SFP.bed,ENCFF935HIG.bed,ENCFF637CIX.bed
ENCFF002ELC	RB1	ENCSR785OKZ	ENCSR785OKZ	narrowPeak	ENCFF936FBJ.bed,ENCFF452IKX.bed,ENCFF593XIS.bed,ENCFF601XVA.bed,ENCFF436OTJ.bed
ENCFF002ELE	STAT1	ENCSR332EYT	ENCSR332EYT,ENCSR000DZM	narrowPeak	ENCFF728RVS.bed,ENCFF019TKV.bed,ENCFF294YGK.bed,ENCFF680DVR.bed,ENCFF557HJB.bed
ENCFF304MPX	WHSC1	ENCSR410HFN	ENCSR410HFN	narrowPeak	ENCFF357GJN.bed,ENCFF749ZCT.bed,ENCFF216PSI.bed,ENCFF453XJH.bed,ENCFF756HVY.bed
ENCFF592CBD	IKZF1	ENCSR874AFU	ENCSR874AFU,ENCSR441VHN,ENCSR000EUJ	narrowPeak	ENCFF492EAL.bed,ENCFF455HXY.bed,ENCFF795PEX.bed,ENCFF343VAG.bed,ENCFF229YSW.bed
ENCFF659AFH	SMAD5	ENCSR251OVJ	ENCSR251OVJ	narrowPeak	ENCFF413GIF.bed,ENCFF794YQY.bed,ENCFF553HHF.bed,ENCFF194YJY.bed,ENCFF711TMS.bed
ENCFF000OGY	TCF3	ENCSR000BQT	ENCSR000BQT	narrowPeak	ENCFF002CIA.bed
ENCFF000OGQ	TCF12	ENCSR000BGZ	ENCSR725VFL,ENCSR000BGZ	narrowPeak	ENCFF002CHZ.bed
ENCFF742VZZ	ARID3A	ENCSR778UBR	ENCSR778UBR	narrowPeak	ENCFF027VZK.bed,ENCFF716JVW.bed,ENCFF877OQG.bed,ENCFF644NTF.bed,ENCFF415CYX.bed
ENCFF907HHY	ZNF217	ENCSR764CZW	ENCSR764CZW	narrowPeak	ENCFF736WSI.bed,ENCFF021SAT.bed,ENCFF589PUL.bed,ENCFF165XUL.bed,ENCFF513RIQ.bed
ENCFF944THM	SMAD5	ENCSR251OVJ	ENCSR251OVJ	narrowPeak	ENCFF413GIF.bed,ENCFF794YQY.bed,ENCFF553HHF.bed,ENCFF194YJY.bed,ENCFF711TMS.bed
ENCFF000OGV	TCF3	ENCSR000BQT	ENCSR000BQT	narrowPeak	ENCFF002CIA.bed
ENCFF000OGH	TAF1	ENCSR000BGS	ENCSR000BGS	narrowPeak	ENCFF002CHY.bed
ENCFF108FHI	FOXK2	ENCSR861JUQ	ENCSR861JUQ	narrowPeak	ENCFF291AYM.bed,ENCFF014VXF.bed,ENCFF348PZF.bed,ENCFF870DSA.bed,ENCFF980KSV.bed
ENCFF000OGN	TCF12	ENCSR000BGZ	ENCSR725VFL,ENCSR000BGZ	narrowPeak	ENCFF002CHZ.bed
ENCFF000OGA	STAT5A	ENCSR000BQZ	ENCSR000BQZ	narrowPeak	ENCFF002CHX.bed
ENCFF000OGC	TAF1	ENCSR000BGS	ENCSR000BGS	narrowPeak	ENCFF002CHY.bed
ENCFF881QTR	NBN	ENCSR278SQL	ENCSR278SQL	narrowPeak	ENCFF055NJR.bed,ENCFF635TWM.bed,ENCFF174HNI.bed,ENCFF211SVA.bed,ENCFF257OPZ.bed
